latitude,longitude,tovr
50.65,4.67,0.66
50.58,4.46,0.75
50.6,4.69,1.07
50.63,4.68,1.12
50.62,4.47,1.23
50.61,4.62,1.18
50.6,4.77,1.16
50.6,4.86,1.3
50.54,4.64,0.7
50.55,4.61,1.22
50.53,4.77,1.0
50.81,4.6,1.78
50.81,4.6,0.99
50.81,4.6,1.72
50.76,4.74,1.29
50.6,4.72,0.55
50.68,4.71,0.28
50.71,4.9,0.75
50.66,4.74,0.55
50.6,4.74,0.48
50.66,4.74,0.66
50.71,4.73,0.53
50.76,4.97,0.72
50.61,4.97,0.73
50.59,4.46,0.67
50.75,4.95,1.39
50.75,4.74,0.94
50.54,4.76,0.45
50.56,4.66,0.6
50.65,4.98,0.66
50.78,4.7,0.89
50.64,4.74,0.48
50.6,4.94,0.58
50.65,4.89,0.58
50.62,4.5,0.72
50.67,4.91,0.53
50.78,4.94,0.79
50.66,4.94,0.81
50.68,4.88,0.38
50.59,4.68,0.57
50.64,4.95,0.45
50.75,4.74,0.68
50.6,4.53,0.46
50.64,4.94,0.78
50.74,4.52,6.29
50.61,4.68,0.56
50.56,4.76,0.64
50.57,4.48,0.54
50.77,4.91,0.64
50.79,4.71,0.5
50.59,4.52,0.63
50.59,4.52,0.64
50.56,4.51,0.67
50.79,4.78,0.32
50.78,4.87,0.44
50.78,4.81,0.57
50.79,4.87,0.39
50.77,4.8,0.8
50.75,4.84,0.62
50.74,4.83,0.44
50.79,5.09,1.03
50.74,5.04,0.91
50.79,5.02,0.59
50.73,4.81,0.69
50.66,4.81,0.55
50.68,4.83,0.69
50.66,4.78,0.72
50.65,4.84,0.47
50.68,4.87,0.65
50.69,4.82,0.51
50.72,4.79,0.46
50.69,4.78,0.65
50.72,5.04,0.91
50.72,5.06,0.28
50.67,5.0,0.62
50.62,4.5,0.72
50.61,4.68,0.64
50.59,4.64,0.68
50.59,4.59,0.52
50.61,4.62,0.37
50.64,4.6,0.62
50.63,4.54,4.93
50.63,4.55,6.79
50.63,4.55,4.49
50.6,4.78,0.51
50.63,4.86,1.21
50.62,4.82,0.6
50.56,4.85,0.51
50.62,4.78,1.26
50.61,4.78,0.61
50.58,4.79,0.31
50.6,4.81,0.56
50.56,4.8,0.67
50.56,4.79,0.44
50.55,4.6,0.79
50.53,4.82,0.33
50.81,4.6,0.46
50.81,4.6,0.3
50.81,4.6,0.51
50.81,4.6,0.5
50.81,4.6,0.44
50.81,4.6,0.56
50.76,4.73,0.69
50.76,4.74,0.76
50.68,4.98,0.93
50.71,4.92,0.44
50.56,4.92,0.81
50.59,4.44,0.88
50.71,4.95,0.8
50.82,4.91,0.59
50.56,4.94,0.67
50.78,4.69,0.94
50.61,4.96,0.6
50.63,4.51,10.52
50.67,4.9,0.74
50.64,4.68,0.78
50.67,5.02,1.02
50.59,4.59,0.83
50.61,4.59,0.43
50.63,4.78,0.91
50.62,4.83,0.95
50.59,4.81,0.66
50.6,4.87,0.67
50.54,4.64,0.6
50.81,4.6,0.76
50.81,4.6,0.69
50.76,4.74,0.91
50.71,4.67,5.4
50.63,4.93,0.73
50.7,4.91,0.82
50.56,4.94,0.63
50.66,4.89,0.41
50.76,4.66,0.2
50.74,4.53,4.3
50.57,4.5,0.68
50.62,4.46,0.74
50.76,4.83,0.51
50.74,4.77,0.56
50.68,4.83,1.05
50.67,4.8,0.29
50.66,4.8,0.98
50.73,5.01,0.41
50.65,5.03,0.39
50.61,4.62,0.41
50.64,4.6,0.56
50.61,4.59,0.6
50.61,4.79,0.83
50.64,5.0,0.75
50.81,4.6,0.53
50.81,4.6,0.65
50.81,4.6,0.5
50.76,4.74,0.6
50.6,4.72,0.43
50.6,4.72,0.35
50.58,4.46,0.54
50.71,4.93,0.32
50.75,4.53,5.46
50.78,4.7,0.76
50.57,4.48,0.32
50.62,4.46,0.65
50.59,4.52,0.59
50.65,4.83,0.35
50.66,4.83,0.57
50.61,4.79,0.53
50.61,4.81,0.52
50.81,4.6,0.59
50.81,4.6,0.48
50.81,4.6,0.43
50.76,4.74,0.62
50.67,4.63,11.41
50.67,4.63,3.9
50.67,4.63,3.42
50.67,4.63,4.08
50.67,4.63,7.45
50.67,4.63,4.72
50.88,3.81,58.87
48.17,0.73,25.44
48.18,3.75,41.32
51.65,5.98,34.9
52.87,4.79,153.31
52.7,5.06,230.99
44.95,1.65,168.08
45.01,1.62,132.41
45.9,0.0,105.43
45.77,0.25,13.53
51.15,5.07,150.34
52.03,5.76,233.33
52.04,5.74,201.2
51.57,5.58,20.68
51.15,5.06,40.09
52.83,6.88,69.98
52.18,5.86,152.46
50.78,4.7,5.47
50.88,4.64,5.13
50.88,4.64,7.49
50.88,4.64,8.86
52.24,4.53,823.2
51.97,5.69,169.75
51.99,5.65,63.16
51.97,5.64,230.5
51.94,5.55,84.06
53.09,5.76,37.94
51.52,6.14,70.9
52.56,4.92,73.82
52.43,4.61,34.46
51.62,8.19,51.2
52.82,7.65,14.52
51.61,8.19,26.95
51.62,8.19,17.9
51.62,8.19,46.93
52.82,7.65,13.51
52.82,7.65,12.57
52.82,7.65,10.27
51.61,8.19,29.78
52.82,7.65,13.71
51.61,8.19,27.22
50.1,3.82,23.44
50.5,5.32,5.96
48.6,4.47,64.14
45.65,0.1,135.14
48.0,-1.53,38.45
50.77,4.4,36.64
50.98,5.1,83.83
51.35,5.07,199.4
50.38,4.25,5.96
51.37,4.62,57.61
50.98,5.58,48.66
45.9,0.17,9.78
52.0,5.75,149.62
53.0,6.17,129.84
51.87,5.25,31.79
52.13,4.5,404.45
51.92,5.42,33.07
52.25,4.67,35.3
52.5,5.7,126.2
52.25,6.5,71.12
52.25,6.5,141.41
52.0,5.33,46.75
50.87,5.92,127.16
52.08,5.47,6.42
51.92,4.75,8.8
51.58,3.75,7.23
51.97,5.47,78.68
52.13,5.75,21.02
49.55,6.14,2.45
49.8,6.16,6.09
49.98,6.07,1.83
49.57,6.18,4.43
49.97,6.13,2.36
49.8,6.17,2.33
49.98,6.07,1.78
49.98,6.07,2.29
49.8,6.18,3.41
49.98,6.07,2.05
49.8,6.18,3.5
49.8,6.16,4.47
49.98,6.07,2.02
49.8,6.17,1.01
49.57,6.18,4.77
49.57,6.18,5.14
49.85,6.16,2.63
49.57,6.18,4.31
49.55,6.14,3.59
49.79,6.15,1.53
49.8,6.18,4.07
49.79,6.15,1.39
49.8,6.16,5.18
49.8,6.17,2.11
49.8,6.16,5.58
49.8,6.18,2.36
49.8,6.18,3.78
49.57,6.18,4.46
49.85,6.16,2.68
49.8,6.16,3.72
49.98,6.07,6.92
49.57,6.18,5.69
49.97,6.13,2.31
49.98,6.07,2.37
49.85,6.16,2.27
49.97,6.13,1.09
49.93,6.15,3.34
49.8,6.16,5.53
49.98,6.07,3.1
49.85,6.16,3.02
49.8,6.18,3.64
49.98,6.13,1.69
49.85,6.16,2.32
49.79,6.15,2.27
49.85,6.16,3.43
49.56,6.14,2.12
49.98,6.07,2.29
49.84,6.16,1.68
49.84,6.16,2.42
49.83,6.11,3.1
49.98,6.07,1.49
49.97,6.07,6.22
49.98,6.13,1.77
49.57,6.18,6.57
49.8,6.18,2.29
49.79,6.16,3.17
49.57,6.18,6.41
