latitude,longitude,tovr
50.65,4.67,3.78
50.58,4.46,3.94
50.6,4.69,3.47
50.63,4.68,3.46
50.62,4.47,3.65
50.61,4.62,3.63
50.6,4.77,3.76
50.6,4.86,3.5
50.54,4.64,3.56
50.55,4.61,3.47
50.53,4.77,3.56
50.81,4.6,4.31
50.81,4.6,4.31
50.81,4.6,4.21
50.76,4.74,3.78
50.6,4.72,3.66
50.68,4.71,3.55
50.71,4.9,3.35
50.66,4.74,3.65
50.6,4.74,3.49
50.66,4.74,3.65
50.71,4.73,3.46
50.76,4.97,2.91
50.61,4.97,3.19
50.59,4.46,3.77
50.75,4.95,3.36
50.75,4.74,3.98
50.54,4.76,3.56
50.56,4.66,3.42
50.65,4.98,3.15
50.78,4.7,3.69
50.64,4.74,3.8
50.6,4.94,3.11
50.65,4.89,3.64
50.62,4.5,3.79
50.67,4.91,3.17
50.78,4.94,3.57
50.66,4.94,3.34
50.68,4.88,3.34
50.59,4.68,4.17
50.64,4.95,3.36
50.75,4.74,3.88
50.6,4.53,5.15
50.64,4.94,3.29
50.74,4.52,32.46
50.61,4.68,3.8
50.56,4.76,3.59
50.57,4.48,3.77
50.77,4.91,3.33
50.79,4.71,5.04
50.59,4.52,4.05
50.59,4.52,4.26
50.56,4.51,3.95
50.79,4.78,3.27
50.78,4.87,2.99
50.78,4.81,3.36
50.79,4.87,3.28
50.77,4.8,3.42
50.75,4.84,3.42
50.74,4.83,3.43
50.79,5.09,3.78
50.74,5.04,3.59
50.79,5.02,3.19
50.73,4.81,3.68
50.66,4.81,3.22
50.68,4.83,3.16
50.66,4.78,3.33
50.65,4.84,3.33
50.68,4.87,3.5
50.69,4.82,3.66
50.72,4.79,3.29
50.69,4.78,3.41
50.72,5.04,3.42
50.72,5.06,3.67
50.67,5.0,2.97
50.62,4.5,3.79
50.61,4.68,3.8
50.59,4.64,3.48
50.59,4.59,3.58
50.61,4.62,3.64
50.64,4.6,3.83
50.63,4.54,25.75
50.63,4.55,26.31
50.63,4.55,24.05
50.6,4.78,3.89
50.63,4.86,3.32
50.62,4.82,3.95
50.56,4.85,3.38
50.62,4.78,3.49
50.61,4.78,3.74
50.58,4.79,3.87
50.6,4.81,3.72
50.56,4.8,3.57
50.56,4.79,3.42
50.55,4.6,3.32
50.53,4.82,3.57
50.81,4.6,4.23
50.81,4.6,4.23
50.81,4.6,4.23
50.81,4.6,4.23
50.81,4.6,4.17
50.81,4.6,4.17
50.76,4.73,3.82
50.76,4.74,3.73
50.68,4.98,3.46
50.71,4.92,3.26
50.56,4.92,3.56
50.59,4.44,3.63
50.71,4.95,3.08
50.82,4.91,3.23
50.56,4.94,3.35
50.78,4.69,3.84
50.61,4.96,3.12
50.63,4.51,26.15
50.67,4.9,3.2
50.64,4.68,3.53
50.67,5.02,3.42
50.59,4.59,3.56
50.61,4.59,3.9
50.63,4.78,3.78
50.62,4.83,3.46
50.59,4.81,3.64
50.6,4.87,3.49
50.54,4.64,3.65
50.81,4.6,4.31
50.81,4.6,4.31
50.76,4.74,3.78
50.71,4.67,25.85
50.63,4.93,3.32
50.7,4.91,3.03
50.56,4.94,3.58
50.66,4.89,3.57
50.76,4.66,4.53
50.74,4.53,29.67
50.57,4.5,3.96
50.62,4.46,3.65
50.76,4.83,3.12
50.74,4.77,3.48
50.68,4.83,3.39
50.67,4.8,3.39
50.66,4.8,3.36
50.73,5.01,3.51
50.65,5.03,3.43
50.61,4.62,3.63
50.64,4.6,3.87
50.61,4.59,3.9
50.61,4.79,3.81
50.64,5.0,3.27
50.81,4.6,4.31
50.81,4.6,4.31
50.81,4.6,4.21
50.76,4.74,3.73
50.6,4.72,3.66
50.6,4.72,3.58
50.58,4.46,3.54
50.71,4.93,3.25
50.75,4.53,29.66
50.78,4.7,3.73
50.57,4.48,4.14
50.62,4.46,3.65
50.59,4.52,4.26
50.65,4.83,3.3
50.66,4.83,3.56
50.61,4.79,3.82
50.61,4.81,3.88
50.81,4.6,4.31
50.81,4.6,4.31
50.81,4.6,4.21
50.76,4.74,3.73
50.67,4.63,27.64
50.67,4.63,29.41
50.67,4.63,29.41
50.67,4.63,29.41
50.67,4.63,27.64
50.67,4.63,30.65
50.88,3.81,30.17
48.17,0.73,12.37
44.98,1.72,10.15
48.18,3.75,14.8
52.31,4.52,21.38
52.4,6.41,25.08
51.65,5.98,12.29
52.01,5.24,8.77
52.87,4.79,32.8
51.61,4.89,32.18
52.7,5.06,22.98
52.45,6.98,7.5
50.82,5.98,13.29
44.95,1.65,18.28
45.01,1.62,21.8
45.9,0.0,28.74
45.77,0.25,24.27
51.15,5.07,25.14
52.03,5.76,23.64
52.04,5.74,20.74
51.57,5.58,10.25
51.15,5.06,18.01
52.83,6.88,40.91
52.18,5.86,27.29
50.78,4.7,3.31
50.88,4.64,2.59
50.88,4.64,2.59
50.88,4.64,2.72
52.24,4.53,20.81
51.97,5.69,29.12
51.99,5.65,26.53
51.97,5.64,29.98
51.94,5.55,38.83
53.09,5.76,30.26
51.52,6.14,26.88
52.56,4.92,30.04
52.43,4.61,18.98
52.24,4.53,23.64
51.62,8.19,10.08
52.82,7.65,6.91
51.61,8.19,12.02
51.62,8.19,10.08
51.62,8.19,10.08
52.82,7.65,7.86
52.82,7.65,7.22
52.82,7.65,5.59
51.61,8.19,12.07
52.82,7.65,7.63
51.61,8.19,10.95
47.87,-1.42,8.53
50.1,3.82,10.28
50.5,5.32,4.83
48.02,-2.12,27.74
48.6,4.47,29.54
45.65,0.1,40.06
48.0,-1.53,11.35
50.77,4.4,34.95
50.98,5.1,20.79
51.35,5.07,27.27
50.07,3.58,17.16
48.42,4.32,22.81
48.59,4.47,25.88
50.38,4.25,4.01
50.72,5.9,5.98
47.5,-3.13,21.03
51.83,6.39,7.54
51.37,4.62,32.56
51.88,5.72,20.92
52.0,5.24,8.56
50.98,5.58,39.21
45.9,0.17,28.22
52.0,5.75,28.68
53.0,6.17,23.83
51.87,5.25,8.54
52.13,4.5,33.27
51.92,5.42,36.42
52.25,4.67,6.33
52.5,5.7,5.17
52.25,6.5,4.5
52.25,6.5,4.5
52.0,5.33,26.66
50.87,5.92,28.12
52.08,5.47,6.3
51.92,4.75,24.24
51.58,3.75,1.06
51.97,5.47,14.05
52.13,5.75,14.08
49.98,6.07,30.9
49.55,6.14,31.36
49.8,6.16,20.03
49.93,6.16,36.84
49.98,6.07,30.97
49.57,6.18,36.02
49.97,6.13,34.81
49.95,6.16,40.59
49.8,6.17,30.82
49.98,6.07,30.97
49.98,6.07,30.9
49.95,6.16,37.47
49.8,6.18,34.33
49.93,6.16,36.84
49.93,6.16,31.4
49.98,6.07,39.23
49.98,6.07,30.9
49.95,6.16,37.47
49.8,6.18,34.33
49.8,6.16,18.75
49.98,6.07,33.04
49.97,6.13,15.09
49.8,6.17,30.82
49.8,6.18,34.33
49.57,6.18,36.02
49.57,6.18,36.02
49.85,6.16,36.16
49.57,6.18,36.02
49.55,6.14,31.36
49.79,6.15,13.34
49.85,6.16,36.16
49.79,6.15,14.22
49.8,6.18,16.5
49.79,6.15,13.34
49.8,6.16,28.11
49.93,6.16,30.09
49.85,6.16,36.16
49.8,6.17,30.83
49.8,6.16,32.47
49.8,6.18,34.33
49.8,6.18,34.33
49.93,6.16,30.09
49.57,6.18,34.84
49.95,6.16,37.47
49.85,6.16,36.16
49.8,6.16,32.47
49.79,6.16,27.66
49.84,6.16,38.53
49.98,6.07,39.23
49.57,6.18,34.84
49.97,6.13,15.09
49.98,6.07,32.79
49.85,6.16,38.53
49.97,6.13,15.09
49.85,6.16,38.53
49.93,6.15,35.61
49.95,6.16,40.59
49.85,6.16,38.53
49.8,6.16,28.11
49.98,6.07,39.23
49.93,6.16,30.09
49.85,6.16,38.53
49.8,6.18,34.33
49.98,6.13,30.35
49.93,6.16,30.09
49.85,6.16,39.22
49.79,6.15,14.22
49.85,6.16,36.16
49.56,6.14,37.1
49.93,6.16,31.4
